"id","winner","rated","victory_status_class","base_time","add_time","total_time","white_rating","black_rating","rating_dif_abs","rating_dif_class","opening_class","opening_eco_mod","opening_ply"
"4z2vQdWC","black",1,0,20,0,20,1408,1652,244,-1,1,106,2
"zU77CpuF","white",1,0,10,5,12,1488,1417,71,1,3,310,6
"po4g2M7S","white",1,0,15,15,40,1404,1476,72,-1,1,101,2
"vye1eiLl","black",0,0,7,8,15,1331,1270,61,1,2,226,4
"oulpKbje","white",1,1,10,5,18,1447,1413,34,1,2,237,7
"NytBGP2x","white",1,1,10,5,16,1506,1422,84,1,2,240,4
"IWkvJkvw","black",1,1,10,0,10,1451,1409,42,1,2,255,6
"QYXJ5h9R","black",1,1,10,0,10,1465,1396,69,1,2,240,3
"M4Ocxlp4","white",1,1,10,8,13,1198,1413,215,-1,3,300,3
"Fk2fBLez","black",1,1,7,6,14,1425,1387,38,1,2,220,4
"J1FFHAQR","black",1,0,11,1,12,1435,1481,46,-1,2,200,3
"Hg6iPQHm","white",1,0,15,10,32,1424,1425,1,0,1,120,2
