"id","winner","base_time","add_time","total_time","game_class","opening_class","opening_eco_mod","rating_dif","same_elo_band_flag","same_elo_step_flag","white_elo_band","white_castle_turn_limited","white_castle_before_five","white_castle_before_ten","white_castle_before_fifteen","white_checks_limited_count","white_checks_before_five","white_checks_before_ten","white_checks_before_fifteen","white_loss_before_five","white_loss_before_ten","white_loss_before_fifteen","black_elo_band","black_castle_turn_limited","black_castle_before_five","black_castle_before_ten","black_castle_before_fifteen","black_checks_before_five","black_checks_before_ten","black_checks_before_fifteen","black_checks_limited_count","black_loss_before_five","black_loss_before_ten","black_loss_before_fifteen","player_as_white_fav_opening_class","player_as_white_fav_opening_eco","player_white_total_games_count","player_black_total_games_count"
"VF3DStg6","black",10,0,10,1,2,200,-117,1,1,3,0,0,0,0,2,0,0,1,2,3,7,3,0,0,0,0,1,1,1,3,1,3,5,"C","C00",1,8
"eaUWKK5D","black",10,0,10,1,3,335,-273,0,0,3,0,0,0,0,0,0,0,0,0,1,5,5,9,0,1,1,0,0,1,1,0,1,3,"D","D35",8,2
"wRTJRY3g","white",10,0,10,1,2,202,20,1,1,3,10,0,1,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,3,"C","C02",1,8
"l1ghtQCD","black",20,0,20,2,3,307,-526,0,0,3,0,0,0,0,0,0,0,0,1,5,5,6,12,0,0,1,0,0,1,2,1,4,4,"D","D35",8,2
"dViuNVsj","white",20,0,20,2,2,201,524,0,0,6,8,0,1,1,0,0,0,0,1,1,2,3,8,0,1,1,0,0,0,0,1,1,2,"C","C01",2,8
"wzEYkJHV","black",10,0,10,1,3,320,183,0,1,3,7,0,1,1,2,0,0,1,1,2,4,2,7,0,1,1,0,0,0,0,1,2,4,"D","D35",8,1
"5ELeKRJd","black",15,10,30,2,3,335,0,1,1,4,10,0,1,1,2,0,1,1,0,3,4,4,11,0,0,1,0,0,1,1,0,3,4,"D","D35",2,4
"9jL7kWCy","black",20,60,78,2,1,190,-488,0,0,1,8,0,1,1,0,0,0,0,1,2,3,4,8,0,1,1,0,0,0,0,1,2,3,"B","B90",1,4
"TX2xQNmU","black",5,5,9,1,1,150,-801,0,0,4,9,0,1,1,3,1,1,1,1,3,4,6,13,0,0,1,0,0,0,0,1,3,3,"B","B50",4,41
"8oKl4fKO","white",30,10,41,2,1,190,572,0,0,6,9,0,1,1,0,0,0,0,1,1,1,4,11,0,0,1,0,0,0,0,1,1,1,"B","B90",1,4
"OMlu601A","white",10,0,10,1,1,130,157,1,1,2,NA,0,0,0,0,0,0,0,1,3,4,2,0,0,0,0,0,0,0,0,0,3,4,"C","B30",17,1
"JMN6bvY3","white",10,0,10,1,2,250,-227,0,0,2,6,0,1,1,1,0,0,1,0,2,4,3,6,0,1,1,0,0,0,0,0,1,3,"C","B30",17,1
"xo2yq0YW","black",10,0,10,1,1,101,53,1,1,2,8,0,1,1,0,0,0,0,1,2,4,2,NA,0,0,0,0,0,0,0,1,2,4,"C","B30",17,1
"XenuWsoi","white",10,0,10,1,1,120,-169,1,1,2,11,0,0,1,0,0,0,0,2,3,4,2,0,0,0,0,0,1,1,1,1,2,3,"B","B00",3,17
"NtBA4KUf","white",10,0,10,1,3,330,205,0,0,3,0,0,0,0,1,0,0,1,1,3,4,2,0,0,0,0,0,0,0,0,0,4,6,"A","A53",3,17
"qwj5GOww","white",10,0,10,1,1,130,358,0,0,2,NA,0,0,0,0,0,0,0,2,3,6,1,10,0,1,1,0,0,0,0,1,2,4,"C","B30",17,3
"LuRYk220","white",10,0,10,1,1,101,3,1,1,2,7,0,1,1,0,0,0,0,1,2,6,2,11,0,0,1,0,0,0,0,1,2,5,"C","B30",17,1
"G39oVhet","white",10,0,10,1,1,120,-12,1,1,2,13,0,0,1,0,0,0,0,0,2,3,2,15,0,0,1,0,0,0,0,0,1,3,"B","B01",3,17
"lsHiahWh","white",10,0,10,1,2,200,-165,0,1,2,15,0,0,1,2,0,1,1,1,3,6,3,NA,0,0,0,0,0,1,1,1,3,4,"C","B30",17,2
"BRUpsFeQ","white",10,0,10,1,1,120,-111,1,1,2,7,0,1,1,1,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,2,"C","C64",2,17
"O083BUOT","white",10,0,10,1,2,245,66,1,1,2,NA,0,0,0,0,0,0,0,2,3,4,2,8,0,1,1,0,0,1,1,2,3,4,"C","B30",17,3
"lrGQuutI","black",10,0,10,1,4,400,-376,0,0,3,13,0,0,1,0,0,0,0,0,2,6,5,8,0,1,1,0,0,1,1,0,2,4,"E","E00",4,6
